最优灵敏度,适配评分,适配等级,环境适配,趋势捕获率%,效率分,回撤控分,资金分,胜率分,波动分,基金代码,基金名称,所属板块,回测区间,交易天数,策略收益%,年化收益%,买入持有%,买持年化%,超额收益%,最大回撤%,买持最大回撤%,回撤起始,回撤结束,回撤持续天数,夏普比率,卡尔马比率,日均波动%,最大单日涨%,最大单日跌%,均值回归率%,买入次数,卖出次数,胜率%,月度胜率%,平均盈利,平均亏损,盈亏比,中位盈亏,P10盈亏,P90盈亏,最大单笔盈利,最大单笔亏损,最大连续亏损次数,最大连续盈利次数,平均仓位%,持仓天数占比%,空仓天数占比%,平均持仓天数,中位持仓天数,最长持仓天数,已实现盈亏,剩余现金,持仓市值,期末总值,牛市半年数,牛市策略收益%,牛市买持收益%,熊市半年数,熊市策略收益%,熊市买持收益%,震荡半年数,震荡策略收益%,震荡买持收益%,牛市天数,震荡天数,熊市天数,信号:低位建仓,信号:冷却期后加仓,信号:冷却期后建仓,信号:分批止盈,信号:反弹建仓,信号:大跌抄底,信号:常规止损(L2),信号:延迟回补(分批止盈),信号:延迟回补(强势止盈),信号:延迟回补(慢涨止盈),信号:延迟回补(扭亏分批止盈),信号:延迟回补(扭亏强势止盈),信号:延迟回补(扭亏慢涨止盈),信号:延迟回补(扭亏止盈卖出),信号:延迟回补(止盈卖出),信号:强势止盈,信号:慢涨止盈,信号:扭亏分批止盈,信号:扭亏强势止盈,信号:扭亏慢涨止盈,信号:扭亏止盈卖出,信号:极端止损(L3),信号:止盈卖出,信号:温和回调建仓,信号:灾难保底减仓,信号:灾难保护,信号:灾难保护(暴跌),信号:短期深亏安全网,信号:补仓(第1次),信号:补仓(第2次),信号:补仓(第3次),信号:趋势确认减仓,信号:趋势转弱,信号:跌势放缓建仓,信号:连跌低吸,分批止盈:次数,分批止盈:胜率%,分批止盈:总盈亏,分批止盈:平均盈亏,常规止损(L2):次数,常规止损(L2):胜率%,常规止损(L2):总盈亏,常规止损(L2):平均盈亏,强势止盈:次数,强势止盈:胜率%,强势止盈:总盈亏,强势止盈:平均盈亏,慢涨止盈:次数,慢涨止盈:胜率%,慢涨止盈:总盈亏,慢涨止盈:平均盈亏,扭亏分批止盈:次数,扭亏分批止盈:胜率%,扭亏分批止盈:总盈亏,扭亏分批止盈:平均盈亏,扭亏强势止盈:次数,扭亏强势止盈:胜率%,扭亏强势止盈:总盈亏,扭亏强势止盈:平均盈亏,扭亏慢涨止盈:次数,扭亏慢涨止盈:胜率%,扭亏慢涨止盈:总盈亏,扭亏慢涨止盈:平均盈亏,扭亏止盈卖出:次数,扭亏止盈卖出:胜率%,扭亏止盈卖出:总盈亏,扭亏止盈卖出:平均盈亏,极端止损(L3):次数,极端止损(L3):胜率%,极端止损(L3):总盈亏,极端止损(L3):平均盈亏,止盈卖出:次数,止盈卖出:胜率%,止盈卖出:总盈亏,止盈卖出:平均盈亏,灾难保底减仓:次数,灾难保底减仓:胜率%,灾难保底减仓:总盈亏,灾难保底减仓:平均盈亏,灾难保护:次数,灾难保护:胜率%,灾难保护:总盈亏,灾难保护:平均盈亏,灾难保护(暴跌):次数,灾难保护(暴跌):胜率%,灾难保护(暴跌):总盈亏,灾难保护(暴跌):平均盈亏,短期深亏安全网:次数,短期深亏安全网:胜率%,短期深亏安全网:总盈亏,短期深亏安全网:平均盈亏,趋势确认减仓:次数,趋势确认减仓:胜率%,趋势确认减仓:总盈亏,趋势确认减仓:平均盈亏,趋势转弱:次数,趋势转弱:胜率%,趋势转弱:总盈亏,趋势转弱:平均盈亏
0.9,48.5,C-一般,熊市优,100.0,9.3,21.2,3.4,4.6,10,016020,招商中证电池主题ETF联接C,固态电池,2022-08-11 ~ 2026-05-08,906,25.94,6.62,1.08,0.3,24.86,21.29,60.33,2022-08-23,2024-08-23,730,0.73,0.31,1.427,12.37,-12.79,51.1,32,172,37.8,30.4,68.36,-18.91,3.62,-0.39,-24.01,8.33,1373.43,-294.13,60,18,16.8,98.9,1.1,13.7,12,44,2590.62,12572.66,20.87,12593.53,3,48.52,93.62,3,-18.7,-63.69,2,-0.2,-3.36,0,876,30,0,18,1,15,0,1,69,0,0,1,1,2,0,2,0,1,9,11,5,2,13,25,8,2,2,0,0,2,3,1,0,1,9,0,0,15,93.3,215.72,14.38,69,0.0,-915.9,-13.27,1,100.0,314.22,314.22,9,88.9,80.81,8.98,11,90.9,15.18,1.38,5,100.0,903.55,180.71,2,100.0,4.58,2.29,13,84.6,1990.56,153.12,25,0.0,-921.99,-36.88,8,75.0,831.02,103.88,2,0.0,-1.81,-0.91,0,0,0,0,0,0,0,0,2,0.0,-12.99,-6.5,1,0.0,-0.35,-0.35,9,88.9,88.02,9.78
0.85,48.9,C-一般,全天候/熊市优/震荡优,718.8,8.2,19.3,4.6,6.8,10,013180,广发国证新能源车电池ETF联接C,固态电池,2021-09-16 ~ 2026-05-08,1122,38.49,7.59,-6.22,-1.43,44.71,27.82,65.24,2022-06-28,2024-08-23,703,0.69,0.27,1.443,11.08,-11.27,51.0,42,257,37.7,45.6,71.69,-21.0,3.41,-0.9,-26.5,12.64,1396.58,-438.43,69,29,22.9,98.2,1.8,15.0,8,54,3846.1,13827.34,21.71,13849.05,4,47.7,90.07,2,-22.59,-54.67,4,14.07,-19.52,0,1067,55,2,20,2,19,1,1,114,2,0,0,0,2,0,2,1,2,23,12,5,13,17,33,8,0,1,0,1,2,4,3,1,2,5,0,1,19,100.0,186.33,9.81,114,0.0,-1313.49,-11.52,2,100.0,20.01,10.01,23,95.7,213.38,9.28,12,91.7,55.2,4.6,5,100.0,1332.77,266.55,13,76.9,13.09,1.01,17,88.2,1814.84,106.76,33,0.0,-1696.06,-51.4,8,100.0,3287.86,410.98,1,0.0,-9.65,-9.65,0,0,0,0,1,0.0,-10.12,-10.12,2,0.0,-21.79,-10.89,2,0.0,-56.95,-28.48,5,100.0,30.68,6.14
0.85,49.5,C-一般,全天候/熊市优/震荡优,507.6,5.2,23.1,3.3,7.9,10,005538,中航新起航灵活配置混合C,固态电池,2020-04-01 ~ 2026-05-08,1480,22.62,3.53,-5.55,-0.97,28.17,20.21,72.87,2021-02-10,2024-02-05,1109,0.46,0.17,1.418,11.76,-13.89,50.7,51,347,47.3,52.7,23.68,-13.85,1.71,0.0,-16.35,11.72,1414.29,-227.93,41,17,16.5,96.9,3.1,19.2,13,114,1902.09,9719.88,2542.1,12261.98,5,38.91,112.04,5,-16.68,-89.97,3,1.19,-2.87,0,1420,60,0,31,2,28,0,0,119,1,0,0,0,2,0,3,3,2,19,21,7,10,61,28,36,1,0,0,1,0,4,3,0,6,9,0,1,28,96.4,439.02,15.68,119,0.0,-804.6,-6.76,2,100.0,4.06,2.03,19,84.2,68.45,3.6,21,81.0,9.41,0.45,7,71.4,166.86,23.84,10,90.0,1.82,0.18,61,77.0,738.56,12.11,28,0.0,-796.01,-28.43,36,91.7,2389.49,66.37,0,0,0,0,0,0,0,0,1,0.0,-12.34,-12.34,0,0,0,0,6,0.0,-368.17,-61.36,9,88.9,65.54,7.28
0.9,58.5,B-良好,熊市优,49.4,13.1,23.4,4.3,7.7,10,006168,德邦乐享生活混合C,固态电池,2020-04-01 ~ 2026-05-08,1480,34.75,5.21,70.28,9.49,-35.53,11.96,45.21,2022-06-30,2025-04-07,820,0.68,0.44,1.025,10.97,-8.29,48.8,46,261,69.7,51.4,25.66,-27.07,0.95,0.09,-19.78,35.21,1174.33,-171.23,22,31,21.6,96.6,3.4,24.2,22,98,3100.41,11366.57,2108.22,13474.79,4,35.13,88.38,2,0.53,-29.23,7,-3.58,7.79,0,1465,15,0,18,6,40,0,1,38,3,0,1,0,0,0,3,1,2,12,32,8,3,53,21,36,2,0,1,0,0,7,3,0,0,15,0,1,40,90.0,587.17,14.68,38,0.0,-671.01,-17.66,2,100.0,32.71,16.36,12,100.0,37.45,3.12,32,78.1,237.33,7.42,8,100.0,334.77,41.85,3,100.0,22.03,7.34,53,92.5,2672.24,50.42,21,0.0,-727.63,-34.65,36,91.7,619.2,17.2,0,0,0,0,1,0.0,-171.23,-171.23,0,0,0,0,0,0,0,0,0,0,0,0,15,93.3,127.38,8.49
0.8,45.3,C-一般,熊市优,86.3,1.8,20.7,5.5,7.3,10,005600,汇安量化优选灵活配置C,固态电池,2020-04-01 ~ 2026-05-08,1480,7.77,1.28,9.0,1.48,-1.23,21.26,56.9,2021-02-10,2022-03-15,1267,0.19,0.06,1.023,7.49,-8.02,51.3,36,286,52.8,48.6,19.48,-22.78,0.86,0.01,-28.25,23.95,456.53,-303.65,23,23,27.6,97.0,3.0,24.4,19,95,458.11,8714.7,2061.92,10776.62,5,24.74,90.3,4,-14.96,-63.61,4,-0.71,-3.09,0,1457,23,3,15,2,49,0,1,94,1,0,1,1,0,0,1,3,2,26,23,2,7,15,23,34,1,0,0,0,1,4,1,0,0,10,1,1,49,87.8,743.53,15.17,94,0.0,-1155.59,-12.29,2,100.0,5.08,2.54,26,96.2,328.49,12.63,23,82.6,211.8,9.21,2,100.0,26.66,13.33,7,100.0,1.24,0.18,15,80.0,67.02,4.47,23,0.0,-1306.89,-56.82,34,91.2,1259.51,37.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-20.14,-20.14,0,0,0,0,10,100.0,297.4,29.74
0.8,42.5,C-一般,熊市优,10.1,1.1,21.7,3.6,6.1,10,016567,嘉实中证电池主题ETF发起联接C,固态电池,2022-10-28 ~ 2026-05-08,856,2.12,0.62,20.96,5.76,-18.84,17.64,53.45,2022-11-07,2024-02-20,729,0.11,0.04,1.425,13.43,-13.15,51.5,36,200,49.5,40.9,19.29,-18.49,1.04,0.0,-21.95,26.16,344.83,-191.58,62,22,18.1,99.2,0.8,9.3,9,27,207.92,10190.95,20.75,10211.7,3,14.88,88.47,2,-10.83,-41.54,3,-0.5,-6.68,0,829,27,0,20,1,10,0,2,62,2,0,1,1,2,0,4,0,1,9,22,5,6,43,29,2,0,0,0,0,0,2,1,0,1,10,0,0,10,100.0,397.44,39.74,62,0.0,-622.82,-10.05,1,100.0,1.5,1.5,9,100.0,203.21,22.58,22,95.5,37.05,1.68,5,100.0,158.19,31.64,6,100.0,5.07,0.85,43,81.4,839.87,19.53,29,0.0,-1078.63,-37.19,2,100.0,17.23,8.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-0.05,-0.05,10,100.0,249.86,24.99
0.8,45.0,C-一般,全天候/熊市优/震荡优,31.5,3.1,21.2,4.1,6.6,10,011143,创金合信新材料新能源股票C,固态电池,2021-02-03 ~ 2026-05-08,1273,10.39,1.98,32.99,5.81,-22.6,19.14,54.67,2021-08-30,2024-02-05,1121,0.25,0.1,1.32,10.37,-10.04,51.6,53,272,34.6,43.8,26.2,-18.6,1.41,-0.44,-27.73,13.56,368.49,-287.88,45,26,20.4,98.0,2.0,16.2,8,83,-661.78,2053.93,8984.95,11038.88,3,18.55,82.89,2,-9.66,-32.18,6,3.63,-7.98,0,1249,24,0,29,1,17,0,1,121,1,0,3,1,3,0,1,2,1,10,9,10,2,24,40,27,1,0,0,2,4,5,2,1,1,4,0,2,17,100.0,448.25,26.37,121,0.0,-1367.27,-11.3,1,100.0,0.45,0.45,10,100.0,272.85,27.29,9,66.7,51.47,5.72,10,100.0,1050.46,105.05,2,100.0,0.87,0.43,24,87.5,257.1,10.71,40,0.0,-1022.56,-25.56,27,85.2,306.27,11.34,0,0,0,0,0,0,0,0,2,0.0,-109.76,-54.88,4,0.0,-403.79,-100.95,1,0.0,-220.95,-220.95,4,100.0,74.83,18.71
0.85,52.32,,,193.97,9.51,22.3,3.98,6.53,10.0,---,【固态电池】平均,固态电池,,,23.29,4.99,12.24,2.25,11.05,18.04,58.03,,,806.08,0.55,0.32,1.33,11.31,-11.07,50.98,40.3,237.7,44.44,43.55,42.38,-18.91,2.24,-0.2,-22.42,21.01,1142.38,-283.84,47.67,24.0,19.93,97.87,2.13,15.88,11.08,71.08,1919.62,,,12329.23,3.33,32.05,85.38,2.75,-12.12,-51.72,4.08,4.17,-5.46,0.6,19.9,2.2,20.6,0.2,1.0,85.4,1.2,0.0,0.9,0.4,1.4,0.2,2.4,1.4,1.2,12.2,15.2,6.0,4.7,29.0,29.1,22.5,1.0,0.2,0.1,0.6,0.9,4.1,2.0,0.4,1.6,8.2,0.1,0.7,20.6,90.3,408.88,19.86,85.4,0.0,-866.36,-10.14,1.2,93.3,73.95,59.16,12.2,93.9,176.98,14.45,15.2,84.2,68.11,4.47,6.0,95.8,677.16,112.86,4.7,89.3,20.0,4.28,29.0,84.8,1025.66,35.37,29.1,0.0,-1119.09,-38.48,22.5,90.4,1479.32,65.75,0.2,0.0,-0.96,-3.82,0.1,0.0,-14.27,-171.23,0.6,0.0,-15.43,-26.44,0.9,0.0,-43.91,-47.9,1.6,0.0,-71.0,-44.84,8.2,93.9,120.55,14.61
1.25,56.3,B-良好,全天候/熊市优/震荡优,581.8,12.3,25,3.3,5.7,10,006229,中欧医疗创新股票C,创新药,2020-04-01 ~ 2026-05-08,1480,33.68,5.07,-6.99,-1.23,40.67,12.37,73.1,2025-07-29,2026-03-23,411,0.7,0.41,1.523,8.93,-16.25,50.2,50,372,44.4,37.8,30.54,-7.99,3.82,0.0,-6.78,17.92,482.27,-137.23,36,30,16.7,97.4,2.6,16.6,6,105,3593.3,8018.17,5349.78,13367.95,5,32.54,138.64,5,-2.5,-104.79,3,0.33,-7.07,0,1428,52,1,30,2,33,0,0,165,1,0,0,2,2,0,5,0,0,10,20,11,14,53,21,30,1,3,0,0,4,3,1,0,0,8,1,1,33,93.9,766.77,23.24,165,0.0,-865.22,-5.24,0,0,0,0,10,100.0,368.46,36.85,20,80.0,49.97,2.5,11,100.0,1413.48,128.5,14,78.6,31.37,2.24,53,92.5,1261.65,23.8,21,0.0,-418.47,-19.93,30,100.0,1109.3,36.98,3,0.0,-5.0,-1.67,0,0,0,0,0,0,0,0,4,0.0,-157.7,-39.42,0,0,0,0,8,87.5,38.69,4.84
0.8,64.4,B-良好,全天候/熊市优/震荡优,174.5,19.1,25,3.1,7.2,10,010500,中银创新医疗混合C,创新药,2020-11-27 ~ 2026-05-08,1320,31.53,5.37,18.07,3.22,13.46,8.42,56.8,2023-04-14,2024-07-10,357,0.8,0.64,1.474,9.62,-13.96,46.5,56,365,46.0,47.8,26.25,-7.71,3.4,0.0,-8.68,25.28,497.81,-81.47,72,38,15.5,98.1,1.9,15.4,6,68,3052.93,9226.92,3926.49,13153.41,3,21.01,93.47,4,-10.37,-74.61,5,18.27,22.66,0,1267,53,1,28,4,55,0,0,131,3,0,3,0,1,0,4,0,1,16,11,6,5,31,37,53,3,1,0,0,2,4,2,2,6,10,1,0,55,89.1,1338.87,24.34,131,0.0,-648.8,-4.95,1,100.0,4.64,4.64,16,87.5,372.23,23.26,11,72.7,102.68,9.33,6,100.0,205.77,34.3,5,80.0,30.41,6.08,31,83.9,387.35,12.5,37,0.0,-523.87,-14.16,53,94.3,1888.5,35.63,1,0.0,-34.51,-34.51,0,0,0,0,0,0,0,0,2,0.0,-79.41,-39.7,6,0.0,-71.21,-11.87,10,100.0,80.28,8.03
0.8,45.8,C-一般,全天候/熊市优/牛市可/震荡优,97.8,0,23.7,5.6,6.5,10,012738,广发创新药ETF联接C,创新药,2021-08-09 ~ 2026-05-08,1150,-0.94,-0.21,-41.81,-11.19,40.87,15.04,59.78,2025-07-29,2026-03-23,411,0.02,-0.01,1.188,10.15,-8.18,47.9,58,266,41.7,43.1,24.32,-20.04,1.21,-0.12,-30.86,14.11,719.93,-229.84,37,14,28.2,98.9,1.1,13.0,7,47,-67.04,2822.12,7083.66,9905.78,1,3.71,17.99,5,-6.72,-74.21,4,2.83,11.22,0,1123,27,0,31,1,11,0,0,94,1,0,2,3,1,3,0,2,0,11,14,5,4,41,42,26,3,1,0,0,0,5,4,1,1,16,0,1,11,81.8,33.33,3.03,94,0.0,-1221.03,-12.99,0,0,0,0,11,90.9,44.54,4.05,14,100.0,264.95,18.93,5,80.0,434.38,86.88,4,100.0,34.45,8.61,41,75.6,563.48,13.74,42,0.0,-1357.28,-32.32,26,88.5,1127.33,43.36,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-187.71,-187.71,16,100.0,196.52,12.28
1.05,45.6,C-一般,全天候/熊市优/震荡优,143.5,2.5,25,2.8,5.3,10,010655,天弘医药创新C,创新药,2021-01-29 ~ 2026-05-08,1276,4.01,0.78,-9.22,-1.89,13.23,9.51,55.74,2021-02-10,2022-10-11,780,0.16,0.08,1.397,10.87,-14.77,47.4,43,274,42.0,35.4,20.35,-12.14,1.68,-0.15,-21.44,11.28,511.72,-130.88,45,22,13.8,98.7,1.3,13.5,8,44,543.94,5814.77,4586.43,10401.2,4,7.04,80.69,4,-10.39,-71.39,3,8.15,-3.34,0,1226,50,1,24,2,32,0,1,115,3,0,0,0,1,0,2,1,0,8,5,5,1,27,26,35,1,2,0,1,0,3,3,0,5,12,1,0,32,96.9,1065.07,33.28,115,0.0,-940.79,-8.18,0,0,0,0,8,100.0,52.29,6.54,5,100.0,0.39,0.08,5,100.0,36.6,7.32,1,100.0,9.89,9.89,27,96.3,246.43,9.13,26,0.0,-605.51,-23.29,35,80.0,879.17,25.12,2,0.0,-130.88,-65.44,0,0,0,0,1,0.0,-43.97,-43.97,0,0,0,0,5,0.0,-75.33,-15.07,12,91.7,50.58,4.21
1.25,63.8,B-良好,全天候/熊市优/震荡优,46.0,20.3,22.9,4.8,5.8,10,017900,鹏华医药科技股票C,创新药,2023-03-17 ~ 2026-05-08,761,21.15,6.56,45.93,13.33,-24.78,9.68,34.14,2025-09-01,2026-03-23,328,0.77,0.68,1.312,11.65,-11.78,44.8,20,147,54.4,38.5,32.16,-9.4,3.42,0.01,-0.98,30.75,667.84,-87.87,14,14,24.1,98.4,1.6,14.0,5,83,2149.57,6921.62,5193.08,12114.7,1,10.54,62.83,1,0.25,-17.54,5,9.3,9.58,0,738,23,0,9,1,19,1,1,39,0,0,1,0,0,0,0,3,0,10,10,4,3,21,6,27,0,0,0,0,0,2,1,1,4,4,0,0,19,94.7,720.34,37.91,39,0.0,-246.24,-6.31,0,0,0,0,10,50.0,9.2,0.92,10,70.0,227.76,22.78,4,100.0,314.79,78.7,3,100.0,5.61,1.87,21,81.0,392.82,18.71,6,0.0,-88.94,-14.82,27,81.5,837.08,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,-87.89,-21.97,4,100.0,65.04,16.26
0.85,48.6,C-一般,全天候/熊市优/震荡优,100.0,3.6,23.8,4.3,6.9,10,006113,汇添富创新医药混合A,创新药,2020-04-01 ~ 2026-05-08,1480,12.43,2.01,-4.25,-0.74,16.68,16.73,67.31,2022-07-05,2024-09-23,548,0.28,0.12,1.311,8.82,-10.07,50.4,63,405,41.5,45.9,20.69,-10.04,2.06,-0.03,-18.28,11.25,535.07,-133.05,49,26,21.7,97.4,2.6,12.9,5,62,1337.47,8511.08,2731.49,11242.57,4,18.71,114.73,5,-12.72,-83.4,4,6.6,-10.21,0,1445,35,0,36,4,17,0,0,177,1,0,2,0,2,0,7,2,0,11,24,11,6,62,38,43,0,0,0,0,2,4,2,1,2,12,1,1,17,100.0,343.02,20.18,177,0.0,-1454.16,-8.22,0,0,0,0,11,100.0,46.84,4.26,24,100.0,66.03,2.75,11,100.0,523.68,47.61,6,66.7,13.29,2.21,62,77.4,736.88,11.89,38,0.0,-597.37,-15.72,43,95.3,1601.4,37.24,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-71.63,-35.81,2,0.0,-15.72,-7.86,12,100.0,145.21,12.1
0.85,45.0,C-一般,全天候/熊市优/震荡优,100.0,3.1,21.1,3.9,6.9,10,014425,博时恒生医疗保健ETF发起式联接(QDII)C,创新药,2022-02-17 ~ 2026-05-08,1025,7.73,1.85,-3.04,-0.76,10.77,17.71,49.74,2022-07-06,2024-07-30,745,0.24,0.1,1.6,11.99,-17.53,49.6,42,215,35.8,46.2,44.8,-18.29,2.45,-0.33,-29.27,18.77,609.74,-464.32,44,17,19.5,97.2,2.8,16.1,10,75,980.32,6366.68,4406.71,10773.39,2,15.96,57.27,2,-14.27,-44.5,5,7.47,0.11,0,982,43,0,19,3,9,1,0,98,1,0,1,2,1,1,1,1,0,6,5,7,1,17,35,29,2,0,0,0,0,4,4,0,2,6,0,1,9,100.0,311.7,34.63,98,0.0,-809.07,-8.26,0,0,0,0,6,100.0,222.6,37.1,5,100.0,217.33,43.47,7,100.0,532.82,76.12,1,100.0,10.1,10.1,17,100.0,866.73,50.98,35,0.0,-1487.89,-42.51,29,89.7,1140.15,39.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-172.5,-86.25,6,100.0,148.35,24.72
0.8,45.2,C-一般,熊市优,0.0,0,23.0,5.6,6.6,10,014565,天弘创新药精选50ETF联接C,创新药,2022-06-27 ~ 2026-05-08,939,-0.63,-0.17,3.24,0.86,-3.87,12.83,45.54,2022-07-05,2022-09-23,771,0.03,-0.01,1.29,8.73,-12.06,48.4,30,193,54.9,43.8,15.16,-27.25,0.56,0.02,-28.2,11.24,400.97,-162.78,20,16,28.1,98.1,1.9,24.5,24,79,-54.71,6093.37,3843.43,9936.8,3,7.4,63.96,2,-5.85,-39.29,4,-1.46,-10.0,0,919,20,1,12,2,22,1,0,51,1,0,1,0,1,0,2,0,1,15,13,4,5,31,16,18,0,0,0,0,0,4,4,0,2,15,0,1,22,86.4,396.05,18.0,51,0.0,-1062.68,-20.84,1,0.0,0.0,0.0,15,93.3,65.77,4.38,13,92.3,8.06,0.62,4,100.0,533.35,133.34,5,100.0,109.82,21.96,31,87.1,332.4,10.72,16,0.0,-583.64,-36.48,18,72.2,14.38,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-15.63,-7.82,15,80.0,147.41,9.83
1.1,42.5,C-一般,熊市优,-12.9,0,22.7,4.1,5.7,10,016971,华夏恒生生物科技ETF发起式联接(QDII)C,创新药,2022-12-23 ~ 2026-05-08,816,-0.69,-0.21,5.36,1.62,-6.05,14.46,49.8,2023-01-20,2024-04-19,529,0.01,-0.01,1.533,6.56,-18.13,49.9,34,179,39.1,38.1,27.08,-19.24,1.41,-0.09,-29.69,14.63,368.46,-209.74,37,23,20.5,96.6,3.4,18.4,19,59,-9.15,6960.04,2971.01,9931.05,3,13.14,76.54,2,-11.6,-44.74,3,-1.44,-8.38,0,785,31,1,17,2,8,0,0,77,0,0,1,0,3,2,2,0,1,8,8,8,3,18,20,19,1,2,0,0,0,3,2,0,1,6,0,0,8,87.5,664.55,83.07,77,0.0,-1155.61,-15.01,1,100.0,0.06,0.06,8,100.0,76.02,9.5,8,62.5,3.01,0.38,8,100.0,493.09,61.64,3,100.0,16.46,5.49,18,94.4,456.78,25.38,20,0.0,-716.42,-35.82,19,78.9,103.15,5.43,2,0.0,-1.82,-0.91,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-30.98,-30.98,6,100.0,82.56,13.76
1.05,48.1,C-一般,全天候/熊市优/震荡优,39.2,4.7,21.7,4.7,7.0,10,010710,安信医药健康股票C,创新药,2021-04-19 ~ 2026-05-08,1226,12.15,2.39,31.0,5.71,-18.85,15.2,45.74,2025-07-29,2026-03-23,791,0.29,0.16,1.261,10.71,-12.76,51.2,43,209,59.8,46.8,26.27,-29.6,0.89,0.03,-23.78,32.02,617.08,-213.43,29,33,23.5,97.8,2.2,15.2,15,41,1270.51,3715.79,7499.65,11215.44,4,10.0,88.07,1,-1.65,-23.09,6,3.9,-23.46,0,1188,38,1,19,3,16,0,1,49,0,0,3,1,2,1,2,1,2,18,11,16,5,38,14,28,1,0,0,0,0,5,2,1,5,7,0,0,16,75.0,631.49,39.47,49,0.0,-896.52,-18.3,2,100.0,83.36,41.68,18,77.8,129.78,7.21,11,100.0,158.29,14.39,16,100.0,657.36,41.09,5,100.0,174.02,34.8,38,92.1,678.43,17.85,14,0.0,-671.39,-47.96,28,85.7,684.61,24.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,-444.77,-88.95,7,85.7,85.85,12.26
0.85,51.4,C-一般,全天候/熊市优/震荡优,21.1,8.3,22.1,4.2,6.8,10,015916,永赢医药创新智选混合发起C,创新药,2022-12-29 ~ 2026-05-08,812,11.73,3.5,55.7,14.73,-43.97,12.62,39.9,2023-02-02,2024-07-30,501,0.46,0.28,1.511,8.02,-12.63,48.9,31,155,47.1,45.2,37.73,-21.94,1.72,0.0,-25.66,25.81,1032.3,-424.08,31,16,20.9,95.4,4.6,13.2,9,44,1108.78,9667.34,1505.95,11173.29,1,21.89,75.31,2,-13.8,-26.71,5,5.72,17.41,0,795,17,1,14,1,16,0,1,50,2,0,0,0,0,0,3,0,0,6,0,5,0,17,19,28,1,3,0,1,0,3,3,1,2,8,0,1,16,100.0,358.68,22.42,50,0.0,-735.65,-14.71,0,0,0,0,6,83.3,24.34,4.06,0,0,0,0,5,100.0,235.08,47.02,0,0,0,0,17,82.4,276.18,16.25,19,0.0,-861.89,-45.36,28,89.3,1744.78,62.31,3,0.0,-38.37,-12.79,0,0,0,0,1,0.0,-4.96,-4.96,0,0,0,0,2,0.0,-4.58,-2.29,8,100.0,115.17,14.4
0.97,50.61,,,117.36,6.72,23.27,4.22,6.4,10.0,---,【创新药】平均,创新药,,,12.01,2.45,8.54,2.15,3.47,13.14,52.51,,,561.09,0.34,0.22,1.4,9.64,-13.47,48.65,42.7,252.7,46.06,42.6,27.76,-16.69,1.66,-0.06,-20.33,19.37,585.74,-206.79,37.64,22.64,21.14,97.64,2.36,15.71,10.36,64.27,1264.17,,,11201.42,2.82,14.72,79.05,3.0,-8.15,-54.93,4.27,5.42,-0.13,0.6,21.7,2.3,21.6,0.3,0.4,95.1,1.2,0.0,1.3,0.7,1.3,0.6,2.5,0.9,0.5,10.8,11.0,7.5,4.3,32.4,24.9,30.5,1.2,1.1,0.0,0.2,0.7,3.6,2.5,0.6,2.7,9.5,0.4,0.5,21.6,91.6,602.72,27.86,95.1,0.0,-912.34,-9.59,0.5,80.0,8.01,17.61,10.8,88.2,128.37,11.87,11.0,88.4,99.86,9.08,7.5,98.8,489.13,65.61,4.3,87.2,39.58,9.26,32.4,86.2,563.56,17.41,24.9,0.0,-719.33,-28.88,30.5,88.4,1011.8,33.12,1.1,0.0,-19.14,-17.55,0.0,0.0,0.0,0.0,0.2,0.0,-4.45,-24.46,0.7,0.0,-28.07,-38.59,2.7,0.0,-100.57,-36.88,9.5,94.2,105.06,11.11
1.2,49.6,C-一般,全天候/熊市优/震荡优,185.3,5.3,23.4,4.0,6.9,10,012538,华宝中证细分化工产业主题ETF联接C,化工,2021-07-23 ~ 2026-05-08,1161,13.12,2.71,-15.38,-3.56,28.5,15.38,58.36,2021-09-15,2024-02-05,937,0.47,0.18,1.015,8.13,-8.19,48.4,33,181,37.6,45.8,36.11,-12.13,2.98,-0.07,-11.17,27.1,390.52,-259.26,38,21,19.8,98.4,1.6,25.1,16,80,1182.24,8682.21,2629.98,11312.19,1,10.94,41.87,2,-1.59,-33.32,7,3.83,-13.7,0,1147,14,0,19,4,8,0,0,86,0,0,0,1,0,0,0,2,2,9,4,6,6,8,22,20,2,1,0,0,0,3,2,0,2,7,0,0,8,100.0,388.19,48.52,86,0.0,-365.91,-4.25,2,100.0,251.04,125.52,9,100.0,195.95,21.77,4,100.0,133.46,33.37,6,100.0,424.33,70.72,6,100.0,25.13,4.19,8,100.0,348.2,43.52,22,0.0,-591.75,-26.9,20,90.0,587.74,29.39,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-315.66,-157.83,7,100.0,101.52,14.5
